Booking_ID,Passenger_ID,Booking_Date_Raw,Booking_Channel,Airline,Flight_Number,Route,Cabin_Class,Passenger_Age,Frequent_Flyer_Tier,Base_Ticket_Price,Seat_Selection_Fee,Baggage_Fee,Meal_Fee,Lounge_Access_Fee,Trip_Type,Payment_Method,Is_Cancelled,Checked_Bags_Count,Inflight_Wifi_Purchased,Special_Meal_Requested,Seat_Location_Pref,Booking_Lead_Time_Days,Delay_Duration_Minutes,Customer_Rating,Distance_Miles,Loyalty_Points_Earned,Discount_Code_Applied,Travel_Insurance_Opted,Checkin_Method,Security_Wait_Time_Min,Gate_Change_Occurred,Survey_Completed
BK-10000,PAX-50754,02/05/2026, Mobile_App ,Global Connect,FL-209,DXB-LHR,First Class,42.0,Silver,"$1,194.45",$27.19,$0.00,$0.00,$72.61,One-Way,Apple Pay,0,2,1,None,Middle,0,0,3.0,5456,2643,0,0,Counter,31.414048121906845,1,0
BK-10001,PAX-50214,"Mar 09, 2026",WEB_PORTAL,Global Connect,FL-767,DXB-LHR,Premium Economy,25.0,,$471.04,$0.00,$36.96,$51.79,$0.00,Round-Trip,Crypto,0,1,1,None,Aisle,42,0,5.0,5456,1811,0,0,Counter,14.004369103227623,1,1
BK-10002,PAX-50125,24/02/2026,Agency_API,AeroFly,FL-367,CDG-JFK,Premium Economy,63.0,Platinum,$489.74, 59.48 ,$0.00,$0.00,$0.00,Round-Trip,Apple Pay,1,0,0,Gluten-Free,Aisle,29,0,4.0,3915,3691,0,0,Counter,4.525996806036982,0,1
BK-10003,PAX-50859,"Mar 21, 2026",Agency_API,Global Connect,FL-533,JFK-LHR,Economy,67.0,Gold,$175.27,$50.04,$69.48,$0.00,$0.00,One-Way,PayPal,0,0,0,None,Window,36,0,4.0,3451,3038,0,0,Counter,12.729772877443295,0,1
BK-10004,PAX-50381, 2026-06-21 ,mobile_app,Global Connect,FL-726,CDG-JFK,First Class,33.0,Silver,"$1,197.74",$0.00,$0.00,$0.00,$100.13,One-Way,Apple Pay,0,3,1,None,Window,7,0,5.0,5456,4483,0,0,Online,16.914055566361657,0,1
BK-10005,PAX-50350,"Apr 23, 2026",Agency_API,SkyWays,FL-796,SIN-SYD,Economy,20.0,Platinum,$192.09,$0.00,$0.00,$35.80,$0.00,Round-Trip,PayPal,0,2,0,None,Aisle,4,0,3.0,3635,664,0,1,Kiosk,7.428817547761568,0,1
BK-10006,PAX-50328,31/01/2026,WEB_PORTAL,SkyWays,FL-308,DXB-LHR,First Class,65.0,Gold,"$1,221.09",$0.00,$0.00,$45.93,$75.76,One-Way,Credit Card,0,0,1,None,Middle,0,38,5.0,3400,4777,0,1,Counter,17.585864910022636,0,1
BK-10007,PAX-50242,2026-02-27,mobile_app,Global Connect,FL-902,SIN-SYD,Economy,51.0,,$149.72,$29.74,$50.80,$0.00,$0.00,Round-Trip,Crypto,0,0,1,None,Aisle,12,8,4.0,3400,1322,0,0,Counter,16.87452801437849,1,1
BK-10008,PAX-50854,2026-03-28,WEB_PORTAL,Global Connect,FL-283,DXB-LHR,Economy,31.0,Platinum,$153.53,$35.25,$45.55,$0.00,$0.00,Round-Trip,Credit Card,0,1,1,None,Aisle,26,0,4.0,3635,1443,0,0,Counter,18.750928182377333,0,1
BK-10009,PAX-50204,31/05/2026,web_portal,AeroFly,FL-668,SIN-SYD,Business,61.0,,"$1,221.13",$58.41,$82.41,$18.43, 69.63 ,Round-Trip,Crypto,0,1,0,None,Window,14,0,2.0,5456,4925,1,0,Kiosk,19.37787106162788,0,1
BK-10010,PAX-50792,31/05/2026,web_portal,Global Connect,FL-414,DXB-LHR,Economy,38.0,,$144.73,$58.97,$0.00,$47.76,$0.00,Round-Trip,PayPal,0,1,1,None,Middle,17,1,4.0,3451,1274,1,1,Online,12.20629440073709,0,0
BK-10011,PAX-50858,2026-01-02,mobile_app,SkyWays,FL-892,SIN-SYD,Business,64.0,Platinum,"$1,247.38",$0.00,$50.10,$0.00,$77.88,Round-Trip,Apple Pay,0,0,0,None,Window,70,62,5.0,3451,2698,0,0,Counter,12.879515761502073,0,0
